id,load,bs,reward
222,10,1,-54.932861328125
223,10,1,-25.887939453125
224,10,1,-44.034423828125
225,10,1,-38.8779296875
226,10,1,-31.986328125
227,10,1,-29.1728515625
228,10,1,-54.1572265625
229,10,1,-44.682373046875
230,10,1,-50.278564453125
231,10,1,-37.206298828125
232,10,1,-39.198486328125
233,10,1,-39.29833984375
234,10,1,-39.501708984375
235,10,1,-29.0908203125
236,10,1,-38.114013671875
237,10,1,-56.932861328125
238,10,1,-29.271484375
239,10,1,-26.3642578125
240,10,1,-39.72509765625
241,10,1,-27.342041015625
242,10,1,-30.5576171875
243,10,1,-48.35205078125
244,10,1,-38.053466796875
245,10,1,-59.181396484375
246,10,1,-59.833984375
247,10,1,-34.90869140625
248,10,1,-31.748046875
249,10,1,-38.091552734375
250,10,1,-39.046630859375
251,10,1,-34.392822265625
252,10,1,-33.77880859375
253,10,1,-37.166015625
254,10,1,-33.44091796875
255,10,1,-28.609619140625
256,10,1,-34.36572265625
257,10,1,-32.91015625
258,10,1,-33.18603515625
259,10,1,-38.44921875
260,10,1,-59.2314453125
261,10,1,-44.3564453125
262,10,1,-29.100341796875
263,10,1,-37.103759765625
264,10,1,-40.025634765625
265,10,1,-55.373291015625
266,10,1,-62.993408203125
267,10,1,-42.4189453125
268,10,1,-41.357177734375
269,10,1,-36.439697265625
270,10,1,-33.12451171875
271,10,1,-29.631103515625
272,10,1,-40.9189453125
273,10,1,-37.967529296875
274,10,1,-50.5263671875
275,10,1,-36.966552734375
276,10,1,-33.931884765625
277,10,1,-29.18017578125
278,10,1,-42.04931640625
279,10,1,-50.827880859375
280,10,1,-34.131103515625
281,10,1,-56.598388671875
282,10,1,-35.8212890625
283,10,1,-40.61572265625
284,10,1,-28.877197265625
285,10,1,-35.41357421875
286,10,1,-35.408935546875
287,10,1,-34.54931640625
288,10,1,-35.3193359375
289,10,1,-45.778564453125
290,10,1,-34.117431640625
291,10,1,-38.9443359375
292,10,1,-38.572998046875
293,10,1,-58.83740234375
294,10,1,-77.305419921875
295,10,1,-62.532958984375
296,10,1,-50.31494140625
297,10,1,-35.083984375
298,10,1,-40.470703125
299,10,1,-66.25244140625
300,10,1,-36.68603515625
301,10,1,-28.556884765625
302,10,1,-37.215576171875
303,10,1,-30.930419921875
304,10,1,-36.166259765625
305,10,1,-34.12548828125
306,10,1,-38.9169921875
307,10,1,-40.068603515625
308,10,1,-33.948486328125
309,10,1,-42.15185546875
310,10,1,-39.728759765625
311,10,1,-39.814453125
312,10,1,-30.6923828125
313,10,1,-45.1005859375
314,10,1,-40.8447265625
315,10,1,-33.06640625
316,10,1,-32.578369140625
317,10,1,-32.51953125
318,10,1,-35.808837890625
319,10,1,-29.794921875
320,10,1,-42.07568359375
321,10,1,-27.803466796875
322,10,1,-31.3037109375
323,10,1,-36.53857421875
324,10,1,-39.191162109375
325,10,1,-42.90185546875
326,10,1,-46.408447265625
327,10,1,-45.449462890625
328,10,1,-36.4931640625
329,10,1,-58.872802734375
330,10,1,-50.698486328125
331,10,1,-33.072509765625
332,10,1,-42.309326171875
333,10,1,-29.25439453125
334,10,1,-38.604736328125
335,10,1,-41.681884765625
336,10,1,-29.2373046875
337,10,1,-29.739501953125
338,10,1,-37.828369140625
339,10,1,-29.265380859375
340,10,1,-51.9072265625
341,10,1,-39.861572265625
342,10,1,-34.659912109375
343,10,1,-29.512939453125
344,10,1,-44.09912109375
345,10,1,-41.162353515625
346,10,1,-29.380859375
347,10,1,-27.8896484375
348,10,1,-33.03515625
349,10,1,-40.6171875
350,10,1,-29.017578125
351,10,1,-38.51171875
352,10,1,-68.5126953125
353,10,1,-32.81201171875
354,10,1,-36.7080078125
355,10,1,-58.91259765625
356,10,1,-33.102783203125
357,10,1,-26.085205078125
358,10,1,-40.63525390625
359,10,1,-36.1708984375
360,10,1,-42.78564453125
361,10,1,-29.2080078125
362,10,1,-39.9404296875
363,10,1,-34.2314453125
364,10,1,-32.7119140625
365,10,1,-42.098388671875
366,10,1,-35.9306640625
367,10,1,-30.245849609375
368,10,1,-36.77685546875
369,10,1,-31.14453125
370,10,1,-34.171875
371,10,1,-37.9921875
372,10,1,-44.862060546875
373,10,1,-29.18310546875
374,10,1,-35.34716796875
375,10,1,-44.796875
376,10,1,-58.772216796875
377,10,1,-33.532958984375
378,10,1,-43.79150390625
379,10,1,-30.043701171875
380,10,1,-35.29150390625
381,10,1,-43.253662109375
382,10,1,-29.73388671875
383,10,1,-42.1953125
384,10,1,-58.160400390625
385,10,1,-69.1201171875
386,10,1,-36.220458984375
387,10,1,-47.398681640625
388,10,1,-31.287109375
389,10,1,-29.1572265625
390,10,1,-34.891845703125
391,10,1,-54.580078125
392,10,1,-39.697509765625
393,10,1,-29.035400390625
394,10,1,-27.716796875
395,10,1,-39.561279296875
396,10,1,-36.260498046875
397,10,1,-60.888916015625
398,10,1,-32.901611328125
399,10,1,-40.691162109375
400,10,1,-55.6162109375
401,10,1,-35.462646484375
402,10,1,-26.207275390625
403,10,1,-42.86572265625
404,10,1,-33.06494140625
405,10,1,-31.855224609375
406,10,1,-38.894287109375
407,10,1,-52.06591796875
408,10,1,-31.828369140625
409,10,1,-33.3798828125
410,10,1,-32.605712890625
411,10,1,-34.175048828125
412,10,1,-32.82666015625
413,10,1,-66.2822265625
414,10,1,-59.779541015625
415,10,1,-50.664306640625
416,10,1,-49.8720703125
417,10,1,-48.6494140625
418,10,1,-39.362060546875
419,10,1,-39.788818359375
420,10,1,-32.037353515625
421,10,1,-34.695556640625
422,10,1,-38.028564453125
423,10,1,-40.302734375
424,10,1,-35.4375
425,10,1,-38.04931640625
426,10,1,-57.760986328125
427,10,1,-29.255615234375
428,10,1,-42.689453125
429,10,1,-31.9111328125
430,10,1,-35.81396484375
431,10,1,-47.712158203125
432,10,1,-30.970458984375
433,10,1,-35.523193359375
434,10,1,-41.625244140625
435,10,1,-32.079833984375
436,10,1,-41.51708984375
437,10,1,-33.39404296875
438,10,1,-32.932861328125
439,10,1,-38.03759765625
440,10,1,-34.105712890625
441,10,1,-52.957763671875
442,10,1,-69.864013671875
443,10,1,-74.9521484375
444,10,1,-38.6884765625
445,10,1,-37.23828125
446,10,1,-36.548095703125
447,10,1,-29.81396484375
448,10,1,-39.1767578125
449,10,1,-40.165283203125
450,10,1,-40.418701171875
451,10,1,-34.022216796875
452,10,1,-65.429931640625
453,10,1,-30.51953125
454,10,1,-42.029541015625
455,10,1,-38.348388671875
456,10,1,-38.601806640625
457,10,1,-34.851806640625
458,10,1,-38.83056640625
459,10,1,-30.310791015625
460,10,1,-40.92626953125
461,10,1,-29.784423828125
462,10,1,-46.2265625
463,10,1,-63.35595703125
464,10,1,-32.830322265625
465,10,1,-38.42578125
466,10,1,-39.243896484375
467,10,1,-46.873046875
468,10,1,-30.00537109375
469,10,1,-42.476806640625
470,10,1,-27.56201171875
471,10,1,-32.93310546875
472,10,1,-42.151611328125
473,10,1,-32.283447265625
474,10,1,-41.569580078125
475,10,1,-39.22265625
476,10,1,-29.310546875
477,10,1,-32.093994140625
478,10,1,-40.79736328125
479,10,1,-63.129150390625
480,10,1,-29.1962890625
481,10,1,-38.109619140625
482,10,1,-32.822998046875
483,10,1,-51.9501953125
484,10,1,-36.457275390625
485,10,1,-34.214599609375
486,10,1,-26.17626953125
487,10,1,-34.135986328125
488,10,1,-34.718017578125
489,10,1,-36.67041015625
490,10,1,-31.516357421875
491,10,1,-37.516357421875
492,10,1,-27.702392578125
493,10,1,-35.091796875
494,10,1,-40.656982421875
495,10,1,-40.58251953125
496,10,1,-34.634521484375
497,10,1,-32.07421875
498,10,1,-39.986083984375
499,10,1,-34.685546875
500,10,1,-29.322265625
501,10,1,-51.664306640625
502,10,1,-39.560302734375
503,10,1,-59.4814453125
504,10,1,-83.599853515625
505,10,1,-96.17724609375
506,10,1,-107.7919921875
507,10,1,-93.39208984375
508,10,1,-78.522216796875
509,10,1,-47.35107421875
510,10,1,-42.062744140625
511,10,1,-28.5595703125
512,10,2,-46.560791015625
513,10,2,-37.63525390625
514,10,2,-300.55712890625
515,10,2,-39.08642578125
516,10,2,-98.15966796875
517,10,2,-31.156494140625
518,10,2,-187.998291015625
519,10,2,-31.451416015625
520,10,2,-134.146484375
521,10,2,-32.3916015625
522,10,2,-55.129638671875
523,10,2,-30.443115234375
524,10,2,-183.1357421875
525,10,2,-34.582763671875
526,10,2,-295.602294921875
527,10,2,-32.868408203125
528,10,2,-48.67578125
529,10,2,-37.782958984375
530,10,2,-59.043212890625
531,10,2,-45.606201171875
532,10,2,-70.693359375
533,10,2,-28.65380859375
534,10,2,-148.681396484375
535,10,2,-43.80712890625
536,10,2,-116.789794921875
537,10,2,-29.91064453125
538,10,2,-118.00341796875
539,10,2,-39.538818359375
540,10,2,-272.90380859375
541,10,2,-39.5947265625
542,10,2,-97.436279296875
543,10,2,-29.5361328125
544,10,2,-169.358154296875
545,10,2,-34.80126953125
546,10,2,-36.805908203125
547,10,2,-31.8671875
548,10,2,-98.924072265625
